Summary,Precondition,Priority,Test Step,Test Data,Expected Result
Register with valid email,Browser open; email not previously registered; internet connected.,High,Go to facebook.com → Click 'Create new account' → Fill all fields with valid data → Click 'Sign Up',Name: Md Sayem Mottakee | Email: sayemmottakee2000@gmail.com | DOB: 01/Jan/1995 | Pass: Test@1234!,Account created; confirmation email sent; user lands on confirm email screen.
Register with already-used email,Existing account linked to test email.,High,Go to Sign Up → Enter already-registered email → Fill remaining fields → Click Sign Up,Email: sayemmottakee2000@gmail.com (already registered),Error: 'It looks like you already have an account' displayed. Registration blocked.
Register with invalid email format,None.,Medium,Go to Sign Up → Enter invalid email → Fill other fields → Click Sign Up,Email: notanemail@@bad | Pass: Test@1234!,Inline validation error on email field. Form does not submit.
Register with weak password,None.,High,Go to Sign Up → Fill valid name/email/DOB → Enter weak password → Click Sign Up,Password: 123456,Error: 'Choose a more secure password' shown. Account not created.
Register with underage DOB,None.,High,Go to Sign Up → Enter DOB yielding age < 13 → Complete other fields → Click Sign Up,DOB: 01/Jan/2015 (age 11),Error displayed; account creation blocked with age policy message.
Login with valid credentials,Valid registered account exists.,High,Go to facebook.com → Enter valid email and password → Click 'Log In',Email: sayemmottakee2000@gmail.com | Pass: Test@1234!,User lands on News Feed. Name displayed in top nav.
Login with wrong password,Valid account exists.,High,Go to facebook.com → Enter valid email → Enter wrong password → Click Log In,Email: sayemmottakee2000@gmail.com | Pass: WrongPass99,Error: 'The password you've entered is incorrect.' Login denied.
Login with unregistered email,None.,Medium,Go to facebook.com → Enter unregistered email → Any password → Click Log In,Email: nobody@fake.net | Pass: Test@1234!,Error: 'The email address you entered isn't connected to an account.'
Account lockout after repeated failed logins,Valid account exists.,High,Attempt login with wrong password 5 times consecutively,Email: sayemmottakee2000@gmail.com | Wrong password repeated 5x,Lockout message displayed. CAPTCHA or cooldown enforced.
Forgot password — reset via email,Account exists; email inbox accessible.,High,Click 'Forgotten password?' → Enter email → Click Search → Click 'Send code' → Open email → Enter code → Set new password,Email: sayemmottakee2000@gmail.com | New pass: NewPass@5678!,Password reset. User can log in with new password immediately.
Remember me / stay logged in,User is on login page.,Medium,Enter valid credentials → Check 'Stay logged in' → Log in → Close browser → Reopen → Navigate to facebook.com,"Same browser session, no incognito",User remains logged in; News Feed loads without prompting for credentials.
Login via Facebook mobile app (Android),Facebook app installed on Android 14; account exists.,High,Open Facebook app → Enter valid email and password → Tap Log In,Email: sayemmottakee2000@gmail.com | Pass: Test@1234!,"App loads News Feed. Stories, posts, and nav bar visible."
News Feed loads posts,User logged in; has friends with recent posts.,High,Log in → Observe News Feed on home screen,Account with 50+ friends,"News Feed shows posts in order. Text, images, videos load."
